연도,대학(교) 대여건수,대학(교) 금액(원),전문대학 대여건수,전문대학 금액(원)
2004,26060,69234910,2401,5502110
2005,26871,74432121,2159,5181959
2006,28382,85124825,1931,5015390
2007,30633,99228050,2052,5812970
2008,33189,116441800,2223,6933940
2009,34167,123373870,2265,7450510
2010,34715,126118060,2476,8181700
2011,34669,127155000,2684,8860700
2012,36181,130171546,2715,8550371
2013,33573,119605966,2681,8433010
2014,31133,109892610,2488,7852890
2015,27456,98048650,2146,6806390
2016,24206,87042040,1912,6071480
2017,21638,78190800,1709,5318620
2018,19657,71615830,1586,5050340
2019,16951,57329850,1437,4256100
