기간,유치원(교원)(남),유치원(교원)(여),유치원(사무직원)(남),유치원(사무직원)(여),초등학교(교원)(남),초등학교(교원)(여),초등학교(사무직원)(남),초등학교(사무직원)(여),중학교(교원)(남),중학교(교원)(여),중학교(사무직원)(남),중학교(사무직원)(여),고등학교(교원)(남),고등학교(교원)(여),고등학교(사무직원)(남),고등학교(사무직원)(여),전문대학(교원)(남),전문대학(교원)(여),전문대학(사무직원)(남),전문대학(사무직원)(여),대학(교)(교원)(남),대학(교)(교원)(여),대학(교)(사무직원)(남),대학(교)(사무직원)(여),특수학교(교원)(남),특수학교(교원)(여),특수학교(사무직원)(남),특수학교(사무직원)(여),학교경영기관(사무직원)(남),학교경영기관(사무직원)(여)
1년 미만,2500596,1876530,2491894,1638504,3318921,3239706,2577486,2733812,3458294,3122850,2423269,2626211,3686077,3163208,2523767,2529192,3290410,2860871,2611881,2249982,4346031,3899365,3794671,3223689,4002239,3401934,2847836,2348872,4423991,3290901
2년 미만,2366978,1830128,2578152,1599797,3484464,3445769,2515240,2703204,3492739,3224024,2448355,2285662,3652753,3305555,2525974,2420440,3453981,3017686,2875999,2461180,4614475,4209625,4020341,3371105,4207750,3404810,2740978,2206593,3730787,2615675
3년 미만,2632559,1875887,3039247,1606483,4396359,4045421,2739176,3536042,3672006,3632903,2511400,3009316,3806187,3785709,2662615,2618790,3718969,3240955,3029562,2693402,4860882,4497950,4538833,4041915,3784785,3857230,2684100,2324369,3924623,3427578
4년 미만,2602636,1964671,3200188,1783503,3985647,3763520,2629503,2527298,3796697,3733386,2744141,2776695,3871919,3881790,2732199,2749254,3965871,3309777,3293986,2893875,5556513,4721560,5406015,5025573,3885613,4108025,3032019,2726877,3468048,3422281
5년 미만,2905385,2034689,3169908,1876395,3957800,4239333,2786141,3247312,4144131,3928461,2660052,2952835,4176227,4023120,2876239,3055672,4120889,3439250,3221410,2852259,5481911,4711310,4669960,4154428,4141629,3952698,2591295,3206103,3462748,3285492
6년 미만,3248387,2106636,3947576,2073916,4351590,4443939,3459449,4034464,4146371,3917448,2828351,2915286,4353511,4019407,3009601,2924733,4183130,3664909,3585437,2937597,5588384,4886475,4704563,4293848,4709668,3994718,2980879,2956482,4431742,3282519
7년 미만,3713932,2273164,4011388,1980632,4437311,4356654,3279254,4002539,4371916,4038329,2965425,2993912,4478244,4042109,3100961,3139979,4344182,3891798,3571900,3157356,6041291,5430218,5570043,4488010,4409116,4356795,3346312,2873071,4215545,3890596
8년 미만,3850431,2534134,3992898,2150375,4660619,4355280,3336777,3102803,4515157,4065418,3141714,3350680,4570777,4170740,3391402,3205710,4421624,4073511,3589157,3280500,6109612,5449951,4852380,4608955,4627267,4344862,3381805,3268995,4334644,3598749
9년 미만,4497062,2709208,3504069,2040623,4828228,4390252,3937273,4168888,4577557,4242624,3293263,3777037,4651732,4266447,3478246,3443825,4467762,4192650,3866967,3580446,6397871,5946812,5106868,4774742,4575719,4502458,3578602,3522337,4862905,3233879
10년 미만,4562561,2978689,4466681,2366150,4955131,4649474,3717360,3383061,4590202,4276898,3348941,3600706,4762330,4307563,3523064,3568892,4542026,4475315,3787438,3664041,6677788,6285360,5180650,4873850,4991429,4606626,3689566,3419087,4678398,3998577
