연령,교원 남성수급자수(명),교원 남성 1인당 평균연금월액(원),교원 여성 수급자수(명),교원 여성 1인당 평균연금월액(원),사무직원 남성수급자수(명),사무직원 남성 1인당 평균연금월액(원),사무직원 여성 수급자수(명),사무직원 여성 1인당 평균연금월액(원)
50미만,20,881986,13,721301,19,917761,50,1561201
51미만,6,1258938,6,1660353,6,1862108,41,2229059
52미만,3,1440360,10,2042298,14,1856841,58,2066373
53미만,11,1581660,24,2224320,24,1996164,114,2077550
54미만,28,2141196,51,2510750,37,2100479,113,2168258
55미만,74,2220094,98,2442200,67,2224488,166,2273969
56미만,156,2459638,174,2497017,88,2328014,193,2238818
57미만,229,2564160,239,2630113,147,2405027,232,2397081
58미만,506,2655157,353,2701279,236,2450367,311,2418342
59미만,767,2771021,449,2801707,347,2518774,282,2460742
60미만,864,2841575,482,2844680,493,2556346,268,2383798
61미만,1020,2880861,563,2779356,954,2461267,371,2179600
62미만,1265,3024109,557,2813335,1212,2406345,439,2120667
63미만,2127,3131541,794,2834343,1348,2422721,376,2148661
64미만,2205,3171497,695,2910702,1224,2394898,318,2036193
65미만,2417,3183902,736,2841176,1057,2526415,279,2178648
66미만,2889,3276447,698,2977854,860,2426151,247,2155974
67미만,2946,3309965,698,3018204,744,2446993,171,2289441
68미만,2799,3274397,563,2996791,795,2360166,201,2168646
69미만,1736,3247015,313,3040167,490,2278157,113,2104110
70미만,1723,3259509,360,3111644,551,2295332,115,2107031
71미만,1722,3266006,320,3043563,555,2279784,140,2078856
72미만,1698,3263480,313,3044426,530,2311347,109,1898646
73미만,1775,3284072,283,3056927,573,2270808,93,1875381
74미만,1514,3329152,246,3031319,458,2304637,70,1969008
75미만,1331,3288012,215,2995184,417,2318945,61,1912039
76미만,1241,3289794,175,2973099,365,2230370,35,1857753
77미만,1132,3266788,184,2981869,360,2121423,42,2023240
78미만,1313,3181914,166,2886539,351,2026957,44,2040356
79미만,1146,3156536,145,2886311,267,2054330,30,2264861
80미만,981,3071012,136,2838213,197,2147223,18,2120026
81미만,852,3011821,99,2866389,176,2086071,15,2106900
82미만,720,2937367,91,2898364,150,2043078,10,1827785
83미만,615,2910948,80,2883541,109,2082625,10,2088427
84미만,563,2889882,60,2813634,109,2166518,10,1922294
85미만,489,2739532,57,2694548,99,1985738,2,2618525
86미만,473,2777202,37,2729439,71,1975324,3,1619096
87미만,239,2628779,23,2461235,49,2200776,5,2016860
88미만,199,2725481,25,2556178,37,2128335,2,1997845
89미만,166,2767323,11,2940474,35,2017887,3,1635863
90미만,106,2688067,15,2593073,26,2484321,0,0
90이상,325,2813198,34,2736675,36,2137197,6,2092395
