지역,유치원교원남,유치원교원여,유치원직원남,유치원직원여,초등학교교원남,초등학교교원여,초등학교직원남,초등학교직원여,중학교교원남,중학교교원여,중학교직원남,중학교직원여,고등학교교원남,고등학교교원여,고등학교직원남,고등학교직원여,전문대교원남,전문대교원여,대학교교원남,대학교교원여,대학교직원남,대학교직원여,특수학교교원남,특수학교교원여,특수학교직원남,특수학교직원여,법인교원남,법인교원여,법인직원남,법인직원여
서울,63,5091,128,295,345,549,144,105,1682,1756,311,146,6001,4032,831,388,869,633,16453,5495,18022,42568,224,369,109,53,0,0,364,146
인천,28,2157,82,202,46,28,5,9,140,91,25,13,996,526,113,68,397,157,1012,288,981,2458,56,56,17,12,0,0,5,7
경기,189,9544,398,1331,28,45,17,9,1090,950,208,98,4200,2560,527,243,2217,1379,5288,2171,4558,9291,265,421,158,85,0,0,43,20
강원,6,656,29,38,12,17,9,2,164,150,40,14,500,317,85,54,264,147,1601,615,1649,2886,14,20,4,2,0,0,6,3
충북,21,593,22,52,9,8,3,0,203,119,43,10,544,281,81,28,232,152,1253,545,1140,1770,97,119,31,17,0,0,12,8
대전,44,1457,24,41,17,26,4,7,187,135,40,14,900,392,119,34,463,193,2046,654,2097,3960,33,40,12,5,0,0,8,4
세종,0,15,1,0,0,0,0,0,0,0,0,0,25,16,2,2,70,28,45,8,43,60,0,0,0,0,0,0,0,0
충남,37,1196,59,111,2,5,1,1,352,246,93,33,775,361,123,44,322,209,2945,1105,1720,2777,16,27,5,5,0,0,14,10
전북,25,1089,29,51,0,0,0,0,529,413,143,47,1461,817,302,83,246,214,1196,521,1403,2736,46,43,25,11,0,0,13,3
광주,19,1387,25,34,24,29,8,6,318,347,82,17,1096,557,186,52,398,204,1363,577,944,1331,27,48,9,9,0,0,23,3
전남,14,664,27,33,25,39,8,4,310,206,72,23,981,448,144,53,308,220,418,181,1346,2895,63,63,41,19,0,0,7,2
대구,72,2305,67,128,49,30,9,4,512,414,82,29,1759,698,223,80,697,394,780,248,2899,7185,75,87,22,22,0,0,18,8
경북,70,1840,47,68,30,45,8,2,763,493,141,78,1822,707,296,116,450,446,3311,1051,1764,1949,80,113,47,60,0,0,22,7
부산,46,2779,45,64,66,21,23,8,397,372,73,45,1878,1021,311,193,483,292,2444,990,3135,7460,48,90,35,12,0,0,15,4
울산,17,847,46,50,0,0,0,0,32,28,4,5,433,106,42,23,116,100,1228,219,669,1641,26,56,10,5,0,0,6,2
경남,48,2554,50,105,17,12,3,5,654,474,158,80,1709,685,244,124,469,229,1301,585,2148,5197,18,22,8,5,0,0,8,0
제주,6,199,7,9,0,0,0,0,101,77,17,6,299,110,42,21,117,110,48,18,345,858,12,23,7,4,0,0,0,0
